c_Product_ID,c_Source,c_Sales_Agent,c_Location,c_Delivery_Mode,y_Status
9.0,Live Chat-Google Organic,Sales-Agent-3,Bangalore,Mode-1,1_Potential
19.0,Call,Sales-Agent-4,Other Locations,Mode-5,1_Potential
18.0,Website,Sales-Agent-11,Trivandrum,Mode-1,1_Potential
15.0,Website,Sales-Agent-7,Hyderabad,Mode-1,0_NotPotential
18.0,Call,Sales-Agent-7,Bangalore,Mode-1,1_Potential
18.0,Live Chat-Direct,Sales-Agent-9,Other Locations,Mode-3,0_NotPotential
27.0,Call,Sales-Agent-11,Chennai,Mode-5,1_Potential
19.0,Live Chat-Direct,Sales-Agent-4,UK,Mode-2,1_Potential
18.0,Call,Sales-Agent-7,Bangalore,Mode-1,0_NotPotential
27.0,Live Chat-Direct,Sales-Agent-11,Hyderabad,Mode-3,1_Potential
9.0,By Recommendation,Sales-Agent-7,Bangalore,Mode-4,1_Potential
9.0,Call,Sales-Agent-4,Bangalore,Mode-1,1_Potential
9.0,Website,Sales-Agent-11,Bangalore,Mode-1,1_Potential
19.0,Website,Sales-Agent-7,Other Locations,Mode-1,0_NotPotential
18.0,Live Chat-Google Organic,Sales-Agent-9,Bangalore,Mode-1,1_Potential
5.0,Live Chat-Direct,Sales-Agent-7,USA,Mode-3,1_Potential
19.0,Live Chat-Direct,Sales-Agent-4,Delhi,Mode-4,1_Potential
9.0,Call,Sales-Agent-4,Chennai,Mode-5,1_Potential
18.0,Call,Sales-Agent-9,Chennai,Mode-1,0_NotPotential
2.0,Call,Sales-Agent-9,Other Locations,Mode-5,1_Potential
9.0,Call,Sales-Agent-11,Bangalore,Mode-5,1_Potential
15.0,Call,Sales-Agent-11,Other Locations,Mode-5,0_NotPotential
15.0,Call,Sales-Agent-7,Other Locations,Mode-5,0_NotPotential
19.0,Live Chat-Direct,Sales-Agent-4,Trivandrum,Mode-5,0_NotPotential
15.0,Call,Sales-Agent-7,Other Locations,Mode-5,0_NotPotential
3.0,Call,Sales-Agent-4,Other Locations,Mode-5,1_Potential
18.0,Call,Sales-Agent-4,Bangalore,Mode-5,1_Potential
15.0,Call,Sales-Agent-11,Other Locations,Mode-5,1_Potential
15.0,Call,Sales-Agent-7,Other Locations,Mode-5,0_NotPotential
9.0,Call,Sales-Agent-9,Bangalore,Mode-1,1_Potential
19.0,Call,Sales-Agent-9,Bangalore,Mode-1,1_Potential
9.0,Customer Referral,Sales-Agent-9,Chennai,Mode-1,3_HighPotential
5.0,Live Chat-Direct,Sales-Agent-9,UAE,Mode-3,1_Potential
27.0,Website,Sales-Agent-4,Hyderabad,Mode-1,1_Potential
18.0,Website,Sales-Agent-11,Other Locations,Mode-3,0_NotPotential
9.0,Website,Sales-Agent-9,Bangalore,Mode-1,1_Potential
18.0,Website,Sales-Agent-4,Bangalore,Mode-1,1_Potential
19.0,Website,Sales-Agent-9,Other Locations,Mode-1,1_Potential
19.0,Website,Sales-Agent-11,Chennai,Mode-1,1_Potential
19.0,Call,Sales-Agent-11,Bangalore,Mode-5,1_Potential
19.0,Call,Sales-Agent-4,Chennai,Mode-1,1_Potential
27.0,Live Chat-Direct,Sales-Agent-4,Other Locations,Mode-3,1_Potential
18.0,Live Chat-Blog,Sales-Agent-7,Other Locations,Mode-3,1_Potential
18.0,Website,Sales-Agent-11,Chennai,Mode-1,1_Potential
9.0,Live Chat-Direct,Sales-Agent-9,UAE,Mode-3,1_Potential
19.0,Website,Sales-Agent-11,Other Locations,Mode-1,1_Potential
9.0,Call,Sales-Agent-7,Hyderabad,Mode-1,1_Potential
15.0,Call,Sales-Agent-9,Other Locations,Mode-5,0_NotPotential
15.0,Call,Sales-Agent-7,Other Locations,Mode-5,0_NotPotential
15.0,Call,Sales-Agent-11,Other Locations,Mode-5,0_NotPotential
25.0,Live Chat-Direct,Sales-Agent-11,Bangalore,Mode-1,0_NotPotential
10.0,Website,Sales-Agent-4,Bangalore,Mode-5,1_Potential
18.0,Website,Sales-Agent-11,Other Locations,Mode-1,0_NotPotential
9.0,Live Chat-Direct,Sales-Agent-9,Bangalore,Mode-1,1_Potential
9.0,Call,Sales-Agent-4,Chennai,Mode-2,1_Potential
18.0,Live Chat -PPC,Sales-Agent-9,Chennai,Mode-1,1_Potential
19.0,Call,Sales-Agent-11,Bangalore,Mode-5,1_Potential
18.0,Call,Sales-Agent-11,Delhi,Mode-5,1_Potential
15.0,Call,Sales-Agent-9,Other Locations,Mode-5,0_NotPotential
9.0,Call,Sales-Agent-11,Bangalore,Mode-5,1_Potential
15.0,Call,Sales-Agent-7,Other Locations,Mode-5,0_NotPotential
15.0,Call,Sales-Agent-11,Other Locations,Mode-5,0_NotPotential
15.0,Call,Sales-Agent-4,Other Locations,Mode-5,0_NotPotential
15.0,Call,Sales-Agent-9,Other Locations,Mode-5,0_NotPotential
15.0,Call,Sales-Agent-7,Other Locations,Mode-5,1_Potential
9.0,Call,Sales-Agent-9,Bangalore,Mode-5,1_Potential
19.0,Live Chat-Direct,Sales-Agent-11,Chennai,Mode-1,1_Potential
27.0,Website,Sales-Agent-7,Other Locations,Mode-1,0_NotPotential
18.0,Live Chat -PPC,Sales-Agent-7,Bangalore,Mode-1,1_Potential
19.0,Customer Referral,Sales-Agent-9,Bangalore,Mode-1,3_HighPotential
19.0,Website,Sales-Agent-9,Bangalore,Mode-1,1_Potential
18.0,Live Chat -PPC,Sales-Agent-4,Mumbai,Mode-1,1_Potential
27.0,Live Chat-Direct,Sales-Agent-9,Bangalore,Mode-1,0_NotPotential
18.0,Website,Sales-Agent-7,Chennai,Mode-1,1_Potential
18.0,Website,Sales-Agent-9,Other Locations,Mode-3,0_NotPotential
19.0,Website,Sales-Agent-9,Other Locations,Mode-3,0_NotPotential
5.0,Live Chat-Google Ads,Sales-Agent-9,Other Locations,Mode-3,0_NotPotential
18.0,Website,Sales-Agent-9,Mumbai,Mode-3,1_Potential
15.0,Website,Sales-Agent-9,Other Locations,Mode-1,0_NotPotential
18.0,Website,Sales-Agent-9,Bangalore,Mode-1,1_Potential
19.0,Call,Sales-Agent-9,Bangalore,Mode-1,1_Potential
10.0,Website,Sales-Agent-9,Bangalore,Mode-3,1_Potential
19.0,Live Chat-Direct,Sales-Agent-9,Kolkata,Mode-3,1_Potential
19.0,Live Chat-Blog,Sales-Agent-9,Bangalore,Mode-1,1_Potential
18.0,Live Chat-Direct,Sales-Agent-9,Other Locations,Mode-1,1_Potential
18.0,Live Chat-Direct,Sales-Agent-9,Bangalore,Mode-1,1_Potential
19.0,Live Chat-Direct,Sales-Agent-9,Other Locations,Mode-5,1_Potential
18.0,Website,Sales-Agent-9,Bangalore,Mode-1,1_Potential
19.0,Website,Sales-Agent-9,Bangalore,Mode-3,1_Potential
20.0,Live Chat-Direct,Sales-Agent-11,Delhi,Mode-3,0_NotPotential
18.0,Live Chat-Direct,Sales-Agent-9,Chennai,Mode-1,1_Potential
18.0,Website,Sales-Agent-9,Bangalore,Mode-1,1_Potential
18.0,Website,Sales-Agent-11,Other Locations,Mode-3,1_Potential
